date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,SMCPL,43.25,42.48,43.25,41,57.3,23.52,1.06B,25M,7.5M,23.68K,30,,,,,,
2026-07-18,SNAI,37,37.05,39,35.6,43.9,24.5,739.7M,19.96M,6.99M,465.6,35,0,6.54,5.84,1.04,5.66,-0.6
2026-07-18,SNGP,110,107.49,110.98,106.5,142.6,83.2,68.17B,634.22M,253.69M,3.37M,40,2.57,22.94,1.17,0.86,3.86,-0.85
2026-07-18,SPEL,50.03,48.83,50.69,48.62,83.5,32.91,9.75B,199.74M,39.95M,1.16M,20,2.46,6.37,13,1.45,7.67,0.18
2026-07-18,SPSL,18.2,17.98,18.33,17.94,23.45,17.9,30.2B,1.68B,335.98M,5.8M,20,,,,,,
2026-07-18,SRR,16.3,16.26,16.4,16.23,21,15.26,536.58M,33M,13.2M,56.85K,40,,,,,,
2026-07-18,SRVI,2074.61,2055.26,2074.61,2020,2464,1130,96.57B,46.99M,23.49M,8.86K,50,0.85,223.93,6.65,3.69,6.25,0.09
2026-07-18,SSGC,29.31,28.93,29.49,28.77,46.23,19.02,25.48B,880.92M,336.86M,7.79M,38.24,1.17,-2.87,-0.65,1.94,10.95,88
2026-07-18,SSOM,461.01,461.82,468,450,1179.75,351.1,2.61B,5.66M,1.4M,15.95K,24.69,,,,,,
2026-07-18,STCL,11.2,11.22,11.45,11.15,19.4,8.55,2.69B,239.32M,131.63M,303.64K,55,0,-4.03,-8,1.54,-2.78,0.14
2026-07-18,STJT,145.95,140.53,158.4,131.25,162,70,1.36B,9.66M,1.45M,418.8,15,3.91,27.72,4.42,0.55,5.07,0.48
2026-07-18,STL,43.9,41.34,43.9,40.8,2231.81,40.8,4.45B,107.62M,43.05M,1.75M,40,,,,,,
2026-07-18,STML,58.99,58.17,63.12,52.51,63.12,22.8,502.59M,8.64M,2.59M,18.39K,30,0,-6.99,-1.76,0.66,-8.32,0.62
2026-07-18,STYLERS,52,52.31,53.56,50.2,61.12,36,25.57B,488.83M,24.44M,28.46K,5,2.87,2.28,5.99,1.88,22.98,
